title;author;link
Jevil Bye-bye!;pixon ◎;https://huds.tf/forum/xthreads_attach.php/3877_1616834968_ae957db0/7497ee856ea4a827cbd5a9060e75f3b1/killsound.wav
Amogus;Karaczan;https://huds.tf/forum/xthreads_attach.php/3871_1616769341_baa5266e/aedfcb3003941cf18a4186552f729f60/Amogus.wav
Pop 2 Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3870_1616768250_2a5d8dd4/c351c4985bc97487cdce19c63d6b2532/hitsound.wav
Pop 1 Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3869_1616768224_751f2373/7dee1f9b29bc8e11b6a77601046e3a73/hitsound.wav
Chillout Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3868_1616768072_cb49142f/b09abf524a4670d40b298a2024c0bcb4/hitsound.wav
Gay Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3867_1616264216_7256fbe1/e3e5f8265f40d21f8e707074ba95b5b8/killsound.wav
Cartoon Cowbell Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3866_1616264196_1e525ecd/9e9c14bd4a3ed11178021120a755619c/hitsound.wav
SKRRR Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3865_1616264101_8447025a/4529198d3d97c0e7314840f18dff6883/killsound.wav
Go Fuck Yourself Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3864_1616264060_3400e86c/3f4469be040e4371c7e16afed37e571d/killsound.wav
Overwatch Killsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3863_1616263956_9219eea2/f38a245fa6672c6c6442586a546648eb/killsound.wav
Bubble Pop Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3862_1616160984_94f49b88/204ca2f8593e61bab75bbe4b886f9df9/hitsound.wav
Metall Hitsound;Not a Sniper Main;https://huds.tf/forum/xthreads_attach.php/3861_1616160953_52eed468/9f07ae0916f64feff291d8eec7d084f9/hitsound.wav
